Global Rank,Institution,Country,Sector,Best Country Quartile
1,Chinese Academy of Sciences *,CHN,Government,1
2,Ministry of Education of the People's Republic of China,CHN,Government,1
3,Centre National de la Recherche Scientifique *,FRA,Government,1
4,Harvard University *,USA,Universities,1
5,University of Chinese Academy of Sciences *,CHN,Universities,1
6,Tsinghua University *,CHN,Universities,1
7,Harvard Medical School,USA,Universities,1
8,Zhejiang University *,CHN,Universities,1
9,Shanghai Jiao Tong University *,CHN,Universities,1
10,Helmholtz Gemeinschaft *,DEU,Government,1
11,Peking University *,CHN,Universities,1
12,Meta Platforms Inc *,MUL,Companies,1
13,State Grid Corporation of China *,CHN,Government,1
14,U.S. Department of Health & Human Services *,USA,Health,1
15,Stanford University *,USA,Universities,1
16,Mass General Brigham *,USA,Health,1
17,Google International LLC,MUL,Companies,1
18,Russian Academy of Sciences *,RUS,Government,1
19,American Cancer Society,USA,Health,1
20,University of Oxford *,GBR,Universities,1
21,"Google Inc, USA",USA,Companies,1
22,Institut National de la Sante et de la Recherche Medicale *,FRA,Health,1
23,Johns Hopkins University *,USA,Universities,1
24,University College London *,GBR,Universities,1
25,"Microsoft Research Asia, China",CHN,Companies,1
26,Parker Institute for Cancer Immunotherapy,USA,Health,1
27,Alphabet Inc *,MUL,Companies,1
28,Huazhong University of Science and Technology *,CHN,Universities,1
29,"Microsoft, China",CHN,Companies,1
30,"Meta Platforms Inc, United States",USA,Companies,1
31,University of Toronto,CAN,Universities,1
32,Massachusetts Institute of Technology *,USA,Universities,1
33,National Institutes of Health,USA,Health,1
34,"DeepMind Technologies Ltd, UK",GBR,Companies,1
35,Consejo Superior de Investigaciones Cientificas *,ESP,Government,1
36,"University of Michigan, Ann Arbor *",USA,Universities,1
37,University of Washington *,USA,Universities,1
38,Microsoft Corp *,MUL,Companies,1
39,SenseTime Group *,MUL,Companies,1
40,European Bioinformatics Institute EMBL,GBR,Government,1
41,Sichuan University *,CHN,Universities,1
42,University of Pennsylvania *,USA,Universities,1
43,"Microsoft, USA",USA,Companies,1
44,The New York Genome Center,USA,Health,1
45,DeepMind,MUL,Companies,1
46,Sun Yat-Sen University *,CHN,Universities,1
47,Samsung Corp *,MUL,Companies,1
48,Central South University *,CHN,Universities,1
49,Veterans Affairs Medical Centers *,USA,Health,1
50,Fudan University *,CHN,Universities,1
51,Max Planck Gesellschaft *,DEU,Government,1
52,Cornell University *,USA,Universities,1
53,Columbia University *,USA,Universities,1
54,University of Cambridge *,GBR,Universities,1
55,"University of California, Los Angeles *",USA,Universities,1
56,National University of Singapore *,SGP,Universities,1
57,Imperial College London,GBR,Universities,1
58,Baidu Inc *,MUL,Companies,1
59,University of Melbourne *,AUS,Universities,1
60,Generalitat de Catalunya *,ESP,Government,1
61,Universidade de Sao Paulo *,BRA,Universities,1
62,University of Amsterdam *,NLD,Universities,1
63,Xi'an Jiaotong University *,CHN,Universities,1
64,Harbin Institute of Technology,CHN,Universities,1
65,NVIDIA Corp *,MUL,Companies,1
66,Yale University *,USA,Universities,1
67,Allen Institute for Artificial Intelligence,USA,Non-Profit,1
68,Generalitat de Catalunya Barcelona,ESP,Government,1
69,"Microsoft Research Redmond, USA",USA,Companies,1
70,Hubrecht Institute,NLD,Government,1
71,Instituto de Salud Carlos III *,ESP,Health,1
72,Huawei Technologies Co Ltd *,MUL,Companies,1
73,Massachusetts General Hospital,USA,Health,1
74,UK Research and Innovation *,GBR,Government,1
75,"University of California, San Francisco *",USA,Universities,1
76,Mayo Clinic *,USA,Health,1
77,University of Sydney *,AUS,Universities,1
78,"University of California, Berkeley *",USA,Universities,1
79,"Samsung Electronics, South Korea",KOR,Companies,1
80,Tencent America Llc,USA,Companies,1
81,Wuhan University *,CHN,Universities,1
82,"NVIDIA Corp, USA",USA,Companies,1
83,"Ragon Institute of MGH, MIT and Harvard",USA,Health,1
84,Howard Hughes Medical Institute *,USA,Health,1
85,Assistance Publique Hopitaux de Paris *,FRA,Health,1
86,"University of California, San Diego *",USA,Universities,1
87,"Monash University, Melbourne *",AUS,Universities,1
88,IBM Research *,MUL,Companies,1
89,Adobe Inc *,MUL,Companies,1
89,Tianjin University *,CHN,Universities,1
91,"Baidu Inc, China",CHN,Companies,1
92,"International Agency for Research on Cancer, France",FRA,Health,1
93,Duke University *,USA,Universities,1
94,Vrije Universiteit Amsterdam *,NLD,Universities,1
95,University of New South Wales *,AUS,Universities,1
96,IBM United States,USA,Companies,1
97,Tencent Holdings Ltd *,MUL,Companies,1
98,University of Chicago *,USA,Universities,1
99,"Adobe Research, USA",USA,Companies,1
100,Johns Hopkins Medicine,USA,Health,1
101,Universitat de Barcelona *,ESP,Universities,1
102,University of Science and Technology of China *,CHN,Universities,1
103,Shandong University *,CHN,Universities,1
104,Brigham and Women's Hospital,USA,Health,1
105,Tongji University *,CHN,Universities,1
106,Centres de Recerca de Catalunya *,ESP,Non-Profit,1
107,Sorbonne Universite *,FRA,Universities,1
108,Broad Institute of MIT and Harvard,USA,Health,1
109,South China University of Technology,CHN,Universities,1
110,"Southeast University, Nanjing *",CHN,Universities,1
111,The University of Queensland *,AUS,Universities,1
112,New York University *,USA,Universities,1
113,"Northwestern University, Evanston *",USA,Universities,1
114,Jilin University *,CHN,Universities,1
115,"University of North Carolina, Chapel Hill *",USA,Universities,1
116,University of Tokyo *,JPN,Universities,1
117,Ludwig Institute for Cancer Research *,USA,Health,1
118,National Center for Biotechnology Information,USA,Government,1
119,The University of British Columbia *,CAN,Universities,1
120,Seoul National University *,KOR,Universities,1
121,Consiglio Nazionale delle Ricerche *,ITA,Government,1
122,"Huawei Technologies Co Ltd, China",CHN,Companies,1
123,Zhengzhou University *,CHN,Universities,1
124,"Adobe Inc, USA",USA,Companies,1
125,Singapore Immunology Network,SGP,Government,1
126,Swiss Federal Institute of Technology,CHE,Universities,1
127,"Ohio State University, Columbus *",USA,Universities,1
128,Kings College London,GBR,Universities,1
129,Mitsubishi Electric Research Laboratories,USA,Companies,1
130,Nanyang Technological University *,SGP,Universities,1
131,"University of Minnesota, Twin Cities *",USA,Universities,1
131,Gladstone Institutes,USA,Health,1
133,Stanford Medicine,USA,Health,1
134,European Molecular Biology Laboratory Heidelberg,DEU,Government,1
135,University of Electronic Science and Technology of China *,CHN,Universities,1
136,University of Florida *,USA,Universities,1
137,Utrecht University *,NLD,Universities,1
138,"University of Wisconsin, Madison *",USA,Universities,1
139,National Institute of Allergy and Infectious Diseases,USA,Health,1
140,Leibniz Gemeinschaft *,DEU,Government,1
141,BeiHang University *,CHN,Universities,1
142,Regeneron Pharmaceuticals Inc *,USA,Companies,1
143,McGill University *,CAN,Universities,1
144,National Center for Advancing Translational Sciences,USA,Health,1
145,Apple Inc *,MUL,Companies,1
146,Mount Sinai Health System *,USA,Health,1
147,University of Copenhagen,DNK,Universities,1
148,"Tencent Holdings Ltd, China",CHN,Companies,1
149,Ministry of Agriculture and Rural Affairs,CHN,Government,1
149,University of Southern California *,USA,Universities,1
151,"Apple Inc, USA",USA,Companies,1
152,Catholic University of Leuven,BEL,Universities,1
153,Karolinska Institute *,SWE,Universities,1
154,Medical Research Council,GBR,Health,1
155,"University of California, Davis *",USA,Universities,1
155,"Hoffmann-La Roche Ltd, United States",USA,Companies,1
157,The University of Edinburgh *,GBR,Universities,1
158,"Mitsubishi Electric Corp, USA",USA,Companies,1
159,European Molecular Biology Organization *,DEU,Government,1
160,IBM Switzerland,CHE,Companies,1
161,Chan Zuckerberg Biohub,USA,Health,1
162,Harvard-MIT Division of Health Sciences and Tecnology,USA,Universities,1
163,University of Pennsylvania Health System,USA,Health,1
164,Amsterdam Universitair Medische Centra,NLD,Health,1
165,"Qualcomm Inc, USA",USA,Companies,1
166,Universitat Autonoma de Barcelona *,ESP,Universities,1
166,Yale University Health & Medicine,USA,Health,1
168,Pennsylvania State University *,USA,Universities,1
169,Ericsson Sweden,SWE,Companies,1
170,ByteDance Network Technology Co *,MUL,Companies,1
171,Washington University in Saint Louis *,USA,Universities,1
172,Technische Universitat Munchen *,DEU,Universities,1
173,The University of Manchester *,GBR,Universities,1
174,The Chinese University of Hong Kong *,HKG,Universities,1
175,University of Pittsburgh *,USA,Universities,1
176,Sarah Cannon Research Institute,USA,Health,1
177,Genentech Inc,USA,Companies,1
178,Dana Farber Cancer Institute,USA,Health,1
179,"SenseTime Group, China",CHN,Companies,1
180,Beijing Institute of Technology,CHN,Universities,1
181,Nanjing University *,CHN,Universities,1
182,Memorial Sloan-Kettering Cancer Center *,USA,Health,1
183,University of Illinois at Urbana-Champaign *,USA,Universities,1
184,"Novartis Institutes for Biomedical Research, United States",USA,Companies,1
184,Scripps Research Institute,USA,Health,1
186,F Hoffmann-La Roche *,MUL,Companies,1
187,Universite de Paris Cite *,FRA,Universities,1
188,Qualcomm Inc *,MUL,Companies,1
189,University of Texas M.D. Anderson Cancer Center,USA,Health,1
190,National Cancer Institute,USA,Health,1
191,Emory University *,USA,Universities,1
192,Institute for Health Metrics and Evaluation,USA,Health,1
193,"Wuhan Institute of Virology, Chinese Academy of Sciences",CHN,Government,1
194,"Microsoft, United Kingdom",GBR,Companies,1
195,Columbia University Irving Medical Center,USA,Health,1
196,Wellcome Trust,GBR,Health,1
197,Weill Cornell Medicine,USA,Universities,1
198,"University of Texas, Austin",USA,Universities,1
199,"Amazon.com, Inc *",MUL,Companies,1
200,Universite Paris-Saclay *,FRA,Universities,1
201,Sandra and Edward Meyer Cancer Center,USA,Health,1
202,Chongqing University *,CHN,Universities,1
203,World Health Organization *,MUL,Health,1
204,Ericsson *,MUL,Companies,1
205,Northwestern Polytechnical University,CHN,Universities,1
206,Frederick National Laboratory for Cancer Research,USA,Health,1
207,Universita degli Studi di Roma La Sapienza,ITA,Universities,1
208,University of Groningen *,NLD,Universities,1
209,Chinese Academy of Medical Sciences and Peking Union Medical College *,CHN,Universities,1
210,Universita degli Studi di Milano,ITA,Universities,1
211,Nokia Corp *,MUL,Companies,1
212,Cold Spring Harbor Laboratory,USA,Health,1
213,Max Planck Institut fur Informatik,DEU,Government,1
214,Vanderbilt University *,USA,Universities,1
215,"Huawei Noah's Ark Lab, China",CHN,Companies,1
216,Wellcome Trust Sanger Institute,GBR,Health,1
217,Centers for Disease Control and Prevention,USA,Health,1
218,Chinese Academy of Agricultural Sciences *,CHN,Government,1
219,Oncode Institute,NLD,Non-Profit,1
220,Erasmus University Rotterdam *,NLD,Universities,1
221,National Library of Medicine,USA,Health,1
222,Toyota Group *,MUL,Companies,1
223,"Microsoft Research Cambridge, UK",GBR,Companies,1
224,The University of Hong Kong *,HKG,Universities,1
225,Yonsei University *,KOR,Universities,1
226,Purdue University,USA,Universities,1
227,Leiden University *,NLD,Universities,1
228,Cancer Research UK,GBR,Health,1
229,AstraZeneca *,MUL,Companies,1
230,Intel Corp *,MUL,Companies,1
231,Georgia Institute of Technology *,USA,Universities,1
231,Boston University *,USA,Universities,1
233,NEC Corp *,MUL,Companies,1
234,LG Corporation *,MUL,Companies,1
235,Sanford Burnham Prebys Medical Discovery Institute,USA,Health,1
236,"Amazon.com Inc, United States",USA,Companies,1
237,Dalian University of Technology *,CHN,Universities,1
238,"Samsung Research, South Korea",KOR,Companies,1
239,Carnegie Mellon University *,USA,Universities,1
240,"Soochow University, Suzhou *",CHN,Universities,1
241,"Huawei Technologies Ltd, Germany",DEU,Companies,1
242,University of Alberta,CAN,Universities,1
243,Peking University Health Science Center,CHN,Universities,1
244,Institut Catala de la Salut Barcelona *,ESP,Health,1
245,"Rutgers, The State University of New Jersey",USA,Universities,1
246,"Institut National de Recherche pour l'Agriculture, l'Alimentation et l'Environnement *",FRA,Government,1
247,Universita degli Studi di Padova,ITA,Universities,1
248,"Biogen Inc, USA",USA,Companies,1
249,United States Department of Agriculture,USA,Government,1
249,Aarhus University *,DNK,Universities,1
251,Icahn School of Medicine at Mount Sinai,USA,Universities,1
252,Consejo Nacional de Investigaciones Cientificas y Tecnicas *,ARG,Government,1
253,Universita degli Studi di Napoli Federico II,ITA,Universities,1
254,"Bristol-Myers Squibb Company, United States",USA,Companies,1
255,Washington University Medical Center,USA,Health,1
255,"Texas A&M University, College Station *",USA,Universities,1
257,Universidad Nacional Autonoma de Mexico,MEX,Universities,1
258,Shenzhen University,CHN,Universities,1
259,"Novartis Institutes for Biomedical Research, Switzerland",CHE,Companies,1
260,Wistar Institute,USA,Health,1
261,Banco Bilbao Vizcaya Argentaria *,MUL,Companies,1
262,"Gilead Sciences Inc, United States",USA,Companies,1
263,Ghent University *,BEL,Universities,1
